hgnc	status	subcellular_location
CYP51A1	Validated	Endoplasmic reticulum
BAD	Validated	Mitochondria
RBM5	Validated	Nucleoplasm
FKBP4	Validated	Cytosol
FKBP4	Validated	Nucleoplasm
KDM1A	Validated	Nucleoplasm
RECQL	Validated	Nucleoplasm
CDC27	Validated	Nucleoplasm
HCCS	Validated	Mitochondria
DVL2	Validated	Nuclear bodies
DVL2	Validated	Nucleoplasm
CREBBP	Validated	Nuclear bodies
CREBBP	Validated	Nucleoplasm
RHBDD2	Validated	Golgi apparatus
FBXL3	Validated	Nuclear bodies
BAIAP2L1	Validated	Cytosol
BAIAP2L1	Validated	Plasma membrane
USH1C	Validated	Cytosol
ELAC2	Validated	Nucleoplasm
CCDC124	Validated	Cytosol
CCDC124	Validated	Plasma membrane
PAFAH1B1	Validated	Centrosome
PAX6	Validated	Nucleoplasm
CDKL5	Validated	Nucleoplasm
SPAG9	Validated	Cytosol
SPAG9	Validated	Microtubule organizing center
AASS	Validated	Mitochondria
AASS	Validated	Vesicles
PLEKHG6	Validated	Plasma membrane
CSDE1	Validated	Cytosol
DYRK4	Validated	Vesicles
ZNF207	Validated	Nucleus
FYN	Validated	Cytosol
FYN	Validated	Plasma membrane
NME1-NME2	Validated	Cytosol
TTC19	Validated	Mitochondria
WIZ	Validated	Nucleoplasm
RABGAP1	Validated	Cytosol
ERCC1	Validated	Nucleoplasm
ELOVL5	Validated	Endoplasmic reticulum
CALCOCO1	Validated	Cytosol
MVP	Validated	Cytosol
NUB1	Validated	Nucleoli
NUB1	Validated	Nucleus
GPRC5A	Validated	Plasma membrane
GPRC5A	Validated	Vesicles
TACC3	Validated	Cytosol
TACC3	Validated	Endoplasmic reticulum
ISL1	Validated	Nucleoplasm
WWTR1	Validated	Cytosol
WWTR1	Validated	Nucleoplasm
AGPS	Validated	Peroxisomes
CYP24A1	Validated	Mitochondria
MNAT1	Validated	Nucleoplasm
MRE11A	Validated	Nucleoplasm
OSBPL5	Validated	Vesicles
AQR	Validated	Nucleoplasm
RNH1	Validated	Cytosol
ALAS1	Validated	Mitochondria
GLRX2	Validated	Nucleoplasm
STRAP	Validated	Cytosol
DEF6	Validated	Nucleoplasm
PHF20	Validated	Nucleoplasm
NCAPH2	Validated	Nucleoplasm
TOMM34	Validated	Cytosol
CD44	Validated	Golgi apparatus
CD44	Validated	Plasma membrane
KCNG1	Validated	Vesicles
MIPEP	Validated	Mitochondria
SNX1	Validated	Endosomes
TBPL1	Validated	Nucleoplasm
ARNTL2	Validated	Nucleoli
ARNTL2	Validated	Nucleus
BCLAF1	Validated	Nuclear speckles
RABEP1	Validated	Vesicles
GRN	Validated	Endoplasmic reticulum
GRN	Validated	Endosomes
GRN	Validated	Lysosomes
CENPQ	Validated	Nucleoplasm
SARS	Validated	Cytosol
RANBP3	Validated	Nucleoplasm
ZCCHC8	Validated	Nucleoplasm
FUT8	Validated	Cytosol
FUT8	Validated	Golgi apparatus
UBA6	Validated	Cytosol
UBA6	Validated	Nucleoplasm
VCL	Validated	Focal adhesion sites
RFC1	Validated	Nucleus
TBC1D23	Validated	Golgi apparatus
METTL1	Validated	Nucleus
BOD1L1	Validated	Nucleoplasm
EDC4	Validated	Cytoplasmic bodies
ZFYVE16	Validated	Cytosol
ZFYVE16	Validated	Vesicles
PQLC2	Validated	Vesicles
PHF23	Validated	Nucleoplasm
CAPG	Validated	Nucleus
JADE2	Validated	Nucleoplasm
CTNNA1	Validated	Cell Junctions
CTNNA1	Validated	Plasma membrane
TPR	Validated	Nuclear membrane
GOPC	Validated	Golgi apparatus
NOP16	Validated	Nucleoli
RSF1	Validated	Nucleoplasm
FAM120A	Validated	Cytosol
RCN1	Validated	Endoplasmic reticulum
LIMA1	Validated	Actin filaments
LIMA1	Validated	Cytosol
LIMA1	Validated	Focal adhesion sites
LIMA1	Validated	Plasma membrane
RAD51	Validated	Nucleoli
THOC3	Validated	Nucleoplasm
THRAP3	Validated	Nuclear speckles
SDCCAG8	Validated	Centrosome
SYNE2	Validated	Nuclear membrane
NOP58	Validated	Nucleoli fibrillar center
EIF2AK2	Validated	Cytosol
USP36	Validated	Nuclear speckles
USP36	Validated	Nucleoli
PUM2	Validated	Cytosol
SOAT1	Validated	Endoplasmic reticulum
PKP2	Validated	Cell Junctions
PPP1R12A	Validated	Actin filaments
PPP1R12A	Validated	Cytosol
POLR3E	Validated	Nucleoplasm
FLYWCH1	Validated	Nuclear bodies
ALDH18A1	Validated	Mitochondria
MPC1	Validated	Mitochondria
ACAA1	Validated	Peroxisomes
CS	Validated	Mitochondria
EIF4B	Validated	Cytosol
RPL18	Validated	Cytosol
RPL18	Validated	Endoplasmic reticulum
U2AF2	Validated	Nuclear speckles
EPN1	Validated	Cytosol
CASP8	Validated	Cytosol
TNPO3	Validated	Vesicles
RFXANK	Validated	Nucleoplasm
CTSA	Validated	Vesicles
SUGP2	Validated	Nucleoplasm
HMG20B	Validated	Nucleoplasm
WDR3	Validated	Nucleoli
SPEN	Validated	Nucleoplasm
ZC3H15	Validated	Cytosol
YBX1	Validated	Cytosol
ZBTB11	Validated	Nucleoplasm
ARFGEF1	Validated	Cytosol
ARFGEF1	Validated	Golgi apparatus
ARFGEF1	Validated	Nucleoplasm
PKM	Validated	Cytosol
DNTTIP2	Validated	Nucleoli
TP53BP1	Validated	Nuclear bodies
IARS2	Validated	Mitochondria
IDH3G	Validated	Mitochondria
GPKOW	Validated	Nucleoplasm
ATP11A	Validated	Vesicles
KIF2A	Validated	Centrosome
KIF2A	Validated	Nucleoli
KIF2A	Validated	Nucleus
MAPK6	Validated	Cytosol
UFD1L	Validated	Endoplasmic reticulum
NUCB2	Validated	Golgi apparatus
MNT	Validated	Nucleoplasm
ASNS	Validated	Cytosol
TESK2	Validated	Nucleoplasm
TCOF1	Validated	Nucleoli fibrillar center
TCOF1	Validated	Nucleus
RAD18	Validated	Nuclear bodies
RAD18	Validated	Nucleoplasm
WDR1	Validated	Cytosol
TCF3	Validated	Nucleoplasm
DAZAP1	Validated	Cytosol
DAZAP1	Validated	Nucleoplasm
HLTF	Validated	Nucleus
FAM50A	Validated	Nucleoplasm
ACTN1	Validated	Focal adhesion sites
ACTN1	Validated	Plasma membrane
SMC1A	Validated	Nucleoplasm
HMMR	Validated	Centrosome
HMMR	Validated	Cytosol
HMMR	Validated	Microtubules
P4HA2	Validated	Endoplasmic reticulum
TRNT1	Validated	Mitochondria
XRCC1	Validated	Nucleoplasm
MCM2	Validated	Cytosol
MCM2	Validated	Nucleoplasm
TP63	Validated	Nucleoplasm
SDHA	Validated	Mitochondria
IGF2BP2	Validated	Cytosol
HACD3	Validated	Endoplasmic reticulum
ENO1	Validated	Cytosol
ENO1	Validated	Nucleoplasm
ENO1	Validated	Plasma membrane
ACAT1	Validated	Mitochondria
ZNF638	Validated	Nucleoplasm
FOSL2	Validated	Nucleus
WDR62	Validated	Cytosol
MCM6	Validated	Nucleoplasm
RBM7	Validated	Nucleoplasm
BAZ2A	Validated	Nuclear speckles
MLH1	Validated	Nucleoplasm
PAG1	Validated	Plasma membrane
MCAM	Validated	Plasma membrane
ARHGEF1	Validated	Cytosol
STXBP2	Validated	Cytosol
RARB	Validated	Nucleoplasm
TOP2B	Validated	Nucleus
SNRPA	Validated	Nucleoplasm
EXOSC5	Validated	Nucleoli
APBB1IP	Validated	Cytosol
APBB1IP	Validated	Plasma membrane
TYR	Validated	Vesicles
CAPZB	Validated	Cytosol
CAPZB	Validated	Nucleoplasm
CAPZB	Validated	Vesicles
MCCC1	Validated	Mitochondria
PCM1	Validated	Centrosome
SDF4	Validated	Golgi apparatus
THOC1	Validated	Nuclear speckles
XRCC5	Validated	Nucleoplasm
LXN	Validated	Cytosol
LXN	Validated	Nucleoplasm
TNS1	Validated	Focal adhesion sites
SENP1	Validated	Focal adhesion sites
SENP1	Validated	Nucleus
PGM1	Validated	Actin filaments
DDX1	Validated	Cytosol
DDX1	Validated	Nucleoplasm
EPB41L2	Validated	Plasma membrane
STX7	Validated	Lysosomes
EPHA6	Validated	Nucleoplasm
CPOX	Validated	Mitochondria
HSP90AA1	Validated	Cytosol
RBL1	Validated	Nucleoplasm
AFP	Validated	Cytosol
TCF7	Validated	Nucleoplasm
PKP1	Validated	Nucleoplasm
UBA5	Validated	Cytosol
SMARCD3	Validated	Nucleoplasm
ME2	Validated	Mitochondria
EPB41L3	Validated	Plasma membrane
GEMIN5	Validated	Cytosol
GSK3B	Validated	Nucleus
XPO1	Validated	Cytosol
XPO1	Validated	Nuclear membrane
XPO1	Validated	Nucleoplasm
XPO1	Validated	Vesicles
NUFIP1	Validated	Nucleoli
NUFIP1	Validated	Nucleus
PDS5B	Validated	Nucleoplasm
OXCT1	Validated	Mitochondria
WBP11	Validated	Nucleoplasm
NCOA1	Validated	Cytosol
NCOA1	Validated	Nucleoplasm
NCOA1	Validated	Plasma membrane
HADHA	Validated	Mitochondria
PREP	Validated	Cytosol
SLC25A24	Validated	Mitochondria
MTIF2	Validated	Mitochondria
EPS15	Validated	Cytosol
EPS15	Validated	Vesicles
RAD54L	Validated	Nucleoplasm
B4GALT1	Validated	Golgi apparatus
NFX1	Validated	Nucleus
IPO11	Validated	Nucleoli fibrillar center
IPO11	Validated	Nucleus
RBM22	Validated	Nucleus
HUWE1	Validated	Cytosol
HUWE1	Validated	Nucleoplasm
SRRT	Validated	Nucleoplasm
UIMC1	Validated	Nuclear bodies
LPCAT2	Validated	Endoplasmic reticulum
LPCAT2	Validated	Lipid droplets
NOP14	Validated	Nucleoli
NOP14	Validated	Nucleus
ADD1	Validated	Nucleoplasm
ADD1	Validated	Plasma membrane
L2HGDH	Validated	Mitochondria
SF3B2	Validated	Nuclear speckles
DNM1L	Validated	Cytosol
PHACTR3	Validated	Nucleoplasm
DDX18	Validated	Nucleoli
KHSRP	Validated	Nucleoplasm
DOCK3	Validated	Cytosol
NSFL1C	Validated	Cytosol
NSFL1C	Validated	Nucleoplasm
NSFL1C	Validated	Plasma membrane
MAVS	Validated	Mitochondria
XRN2	Validated	Nucleoli
XRN2	Validated	Nucleus
TMEM230	Validated	Endoplasmic reticulum
GCN1	Validated	Cytosol
PXN	Validated	Cytosol
PXN	Validated	Focal adhesion sites
FUS	Validated	Nucleoplasm
GMIP	Validated	Cytosol
GMIP	Validated	Nucleoplasm
BIRC5	Validated	Cytokinetic bridge
ZBTB25	Validated	Nucleoplasm
RCOR1	Validated	Nucleoplasm
PAPOLA	Validated	Nucleoplasm
NUDC	Validated	Cytosol
MAEA	Validated	Nucleoplasm
GOLGA3	Validated	Golgi apparatus
PABPC4	Validated	Cytosol
AARS	Validated	Cytosol
KIF4A	Validated	Cytokinetic bridge
KIF4A	Validated	Nucleoplasm
TXNL1	Validated	Cytosol
FH	Validated	Mitochondria
SEL1L3	Validated	Nucleus
CDV3	Validated	Cytosol
CDV3	Validated	Nucleoli
CDV3	Validated	Plasma membrane
CEBPE	Validated	Nucleoplasm
HNRNPC	Validated	Nucleoplasm
PHGDH	Validated	Cytosol
PHGDH	Validated	Nucleoplasm
PHGDH	Validated	Plasma membrane
EZR	Validated	Plasma membrane
CLSPN	Validated	Nucleoplasm
NUP50	Validated	Nuclear membrane
NUP50	Validated	Nucleoplasm
CBX5	Validated	Nucleus
ARCN1	Validated	Golgi apparatus
ARCN1	Validated	Vesicles
FKBP5	Validated	Nucleoplasm
HSP90AB1	Validated	Cytosol
DSP	Validated	Cell Junctions
SIRT1	Validated	Cytosol
SIRT1	Validated	Mitochondria
SIRT1	Validated	Nucleus
ABL1	Validated	Nucleoplasm
SCD	Validated	Endoplasmic reticulum
H2AFY2	Validated	Nucleoplasm
HNRNPM	Validated	Nucleoplasm
MISP	Validated	Focal adhesion sites
MISP	Validated	Plasma membrane
PALM	Validated	Plasma membrane
CRKL	Validated	Nucleoplasm
SF3A1	Validated	Nuclear speckles
PPIL2	Validated	Nucleoplasm
PES1	Validated	Nucleoli
PES1	Validated	Nucleus
HIRA	Validated	Nucleoplasm
POLR2F	Validated	Nucleoli fibrillar center
POLR2F	Validated	Nucleus
CENPM	Validated	Cytosol
KDELR3	Validated	Endoplasmic reticulum
DDX17	Validated	Nuclear speckles
TOMM22	Validated	Mitochondria
POLDIP3	Validated	Nuclear speckles
CYB5R3	Validated	Endoplasmic reticulum
MCM5	Validated	Nucleoplasm
TAB1	Validated	Cytosol
TAB1	Validated	Nuclear speckles
SAMM50	Validated	Mitochondria
TXN2	Validated	Mitochondria
ST13	Validated	Cytosol
