deeploc_location	target_location	target_source
Cell membrane	Endoplasmic reticulum membrane	swissprot
Cell membrane	Cytoplasm	swissprot
Cell membrane	Perikaryon	swissprot
Cell membrane	Cell junction	swissprot
Cell membrane	Membrane	swissprot
Cell membrane	Cytoplasmic vesicle membrane	swissprot
Cell membrane	Cell projection	swissprot
Cell membrane	Basolateral cell membrane	swissprot
Cell membrane	Midbody	swissprot
Cell membrane	Membrane raft	swissprot
Cell membrane	Apical cell membrane	swissprot
Cell membrane	Myelin membrane	swissprot
Cell membrane	Secreted	swissprot
Cell membrane	Cell membrane	swissprot
Cytoplasm	Nucleus membrane	swissprot
Cytoplasm	Endoplasmic reticulum membrane	swissprot
Cytoplasm	Nucleus	swissprot
Cytoplasm	Nucleus envelope	swissprot
Cytoplasm	Photoreceptor inner segment	swissprot
Cytoplasm	Midbody	swissprot
Cytoplasm	Myelin membrane	swissprot
Cytoplasm	Secreted	swissprot
Cytoplasm	Nucleus speckle	swissprot
Cytoplasm	Cytoplasmic vesicle	swissprot
Cytoplasm	Endoplasmic reticulum-Golgi intermediate compartment	swissprot
Cytoplasm	Endosome membrane	swissprot
Cytoplasm	Endosome	swissprot
Cytoplasm	Cell membrane	swissprot
Cytoplasm	Cytoplasmic granule	swissprot
Cytoplasm	Lysosome membrane	swissprot
Cytoplasm	Mitochondrion	swissprot
Cytoplasm	Golgi apparatus	swissprot
Cytoplasm	Endoplasmic reticulum	swissprot
Cytoplasm	Cytoplasm	swissprot
Cytoplasm	Perikaryon	swissprot
Cytoplasm	Cell junction	swissprot
Cytoplasm	Membrane	swissprot
Cytoplasm	Cell projection	swissprot
Cytoplasm	Chromosome	swissprot
Endoplasmic reticulum	Nucleus membrane	swissprot
Endoplasmic reticulum	Endoplasmic reticulum membrane	swissprot
Endoplasmic reticulum	Endoplasmic reticulum-Golgi intermediate compartment membrane	swissprot
Endoplasmic reticulum	Endoplasmic reticulum-Golgi intermediate compartment	swissprot
Endoplasmic reticulum	Endoplasmic reticulum lumen	swissprot
Endoplasmic reticulum	Membrane	swissprot
Endoplasmic reticulum	Golgi apparatus	swissprot
Endoplasmic reticulum	Microsome membrane	swissprot
Endoplasmic reticulum	Endoplasmic reticulum	swissprot
Endoplasmic reticulum	Microsome	swissprot
Endoplasmic reticulum	Cell membrane	swissprot
Golgi apparatus	Membrane	swissprot
Golgi apparatus	Golgi apparatus membrane	swissprot
Golgi apparatus	Golgi apparatus	swissprot
Golgi apparatus	Endoplasmic reticulum-Golgi intermediate compartment membrane	swissprot
Lysosome/Vacuole	Cytoplasm	swissprot
Lysosome/Vacuole	Lysosome lumen	swissprot
Lysosome/Vacuole	Lysosome membrane	swissprot
Lysosome/Vacuole	Late endosome membrane	swissprot
Lysosome/Vacuole	Membrane	swissprot
Lysosome/Vacuole	Endosome membrane	swissprot
Lysosome/Vacuole	Golgi apparatus membrane	swissprot
Lysosome/Vacuole	Lysosome	swissprot
Lysosome/Vacuole	Vacuole membrane	swissprot
Lysosome/Vacuole	Cell membrane	swissprot
Mitochondrion	Mitochondrion outer membrane	swissprot
Mitochondrion	Mitochondrion intermembrane space	swissprot
Mitochondrion	Mitochondrion inner membrane	swissprot
Mitochondrion	Mitochondrion	swissprot
Mitochondrion	Membrane	swissprot
Mitochondrion	Mitochondrion membrane	swissprot
Mitochondrion	Mitochondrion matrix	swissprot
Nucleus	Nucleus membrane	swissprot
Nucleus	Cytoplasm	swissprot
Nucleus	Mitochondrion intermembrane space	swissprot
Nucleus	Cytoplasmic granule	swissprot
Nucleus	Nucleus inner membrane	swissprot
Nucleus	Cytoplasmic vesicle	swissprot
Nucleus	Nucleus outer membrane	swissprot
Nucleus	Nucleus	swissprot
Nucleus	Nucleus envelope	swissprot
Nucleus	Mitochondrion	swissprot
Nucleus	Membrane	swissprot
Nucleus	Golgi apparatus	swissprot
Nucleus	Midbody	swissprot
Nucleus	Endoplasmic reticulum	swissprot
