uniprot_id	species	hgnc	subcellular_location	annotation_evidence
Q9NRA8	Homo sapiens	EIF4ENIF1	Cytoplasm	ECO:0000269
Q9NRA8	Homo sapiens	EIF4ENIF1	Nucleus	ECO:0000269
Q9NRA8	Homo sapiens	EIF4ENIF1	Nucleus	ECO:0000269
Q9NRA8	Homo sapiens	EIF4ENIF1	Nucleus speckle	ECO:0000269
Q676U5	Homo sapiens	ATG16L1	Cytoplasm	ECO:0000269
Q9BZC7	Homo sapiens	ABCA2	Endosome membrane	ECO:0000269
Q9BZC7	Homo sapiens	ABCA2	Lysosome membrane	ECO:0000269
P78363	Homo sapiens	ABCA4	Membrane	ECO:0000269
Q96GR2	Homo sapiens	ACSBG1	Cytoplasm	ECO:0000269
O14561	Homo sapiens	NDUFAB1	Mitochondrion	ECO:0000269
P08913	Homo sapiens	ADRA2A	Cell membrane	ECO:0000269
P18089	Homo sapiens	ADRA2B	Cell membrane	ECO:0000269
Q08828	Homo sapiens	ADCY1	Cell membrane	ECO:0000269
Q08462	Homo sapiens	ADCY2	Membrane	ECO:0000269
Q08462	Homo sapiens	ADCY2	Cytoplasm	ECO:0000269
O60266	Homo sapiens	ADCY3	Cell membrane	ECO:0000269
O60266	Homo sapiens	ADCY3	Cytoplasm	ECO:0000269
Q8NFM4	Homo sapiens	ADCY4	Cell membrane	ECO:0000269
Q8NFM4	Homo sapiens	ADCY4	Cytoplasm	ECO:0000269
Q8TED9	Homo sapiens	AFAP1L1	Cytoplasm	ECO:0000269
Q8TED9	Homo sapiens	AFAP1L1	Cell projection	ECO:0000269
Q8TED9	Homo sapiens	AFAP1L1	Cell projection	ECO:0000269
Q8N4X5	Homo sapiens	AFAP1L2	Cytoplasm	ECO:0000269
Q13015	Homo sapiens	MLLT11	Cytoplasm	ECO:0000269
A9YTQ3	Homo sapiens	AHRR	Cytoplasm	ECO:0000269
O43823	Homo sapiens	AKAP8	Nucleus	ECO:0000269
O43823	Homo sapiens	AKAP8	Nucleus matrix	ECO:0000269
O43823	Homo sapiens	AKAP8	Nucleus	ECO:0000269
Q99996	Homo sapiens	AKAP9	Cytoplasm	ECO:0000269
Q9Y243	Homo sapiens	AKT3	Nucleus	ECO:0000269
Q9Y243	Homo sapiens	AKT3	Cytoplasm	ECO:0000269
Q9Y243	Homo sapiens	AKT3	Membrane	ECO:0000269
Q4VCS5	Homo sapiens	AMOT	Cell junction	ECO:0000269
P30533	Homo sapiens	LRPAP1	Rough endoplasmic reticulum lumen	ECO:0000269
P30533	Homo sapiens	LRPAP1	Endoplasmic reticulum-Golgi intermediate compartment lumen	ECO:0000269
P30533	Homo sapiens	LRPAP1	Golgi apparatus	ECO:0000269
P30533	Homo sapiens	LRPAP1	Golgi apparatus lumen	ECO:0000269
P30533	Homo sapiens	LRPAP1	Endosome lumen	ECO:0000269
P30533	Homo sapiens	LRPAP1	Cell surface	ECO:0000269
Q8IZ07	Homo sapiens	ANKRD13A	Cell membrane	ECO:0000269
Q8IZ07	Homo sapiens	ANKRD13A	Late endosome	ECO:0000269
Q9P2R3	Homo sapiens	ANKFY1	Cytoplasm	ECO:0000269
Q9P2R3	Homo sapiens	ANKFY1	Endosome membrane	ECO:0000269
Q9P2R3	Homo sapiens	ANKFY1	Early endosome	ECO:0000269
Q9NVM4	Homo sapiens	PRMT7	Cytoplasm	ECO:0000269
