hgnc	Prediction
A2M	Extracellular
A3GALT2	Endoplasmic_reticulum
A4GALT	Golgi_apparatus
A4GNT	Golgi_apparatus
AAAS	Nucleus
AADAC	Endoplasmic_reticulum
AADACL4	Endoplasmic_reticulum
AADAT	Mitochondrion
AAED1	Cytoplasm
AAGAB	Cytoplasm
AAK1	Cell_membrane
AAMDC	Cytoplasm
AAMP	Nucleus
AANAT	Cytoplasm
AAR2	Cytoplasm
AARD	Nucleus
AARS	Cytoplasm
AARS2	Mitochondrion
AARSD1	Cytoplasm
AASDH	Cytoplasm
AASDHPPT	Mitochondrion
AASS	Mitochondrion
AATF	Nucleus
ABAT	Mitochondrion
ABCA1	Cell_membrane
ABCA12	Cell_membrane
ABCA4	Cell_membrane
ABCA7	Cell_membrane
ABCB1	Cell_membrane
ABCB10	Mitochondrion
ABCB11	Cell_membrane
ABCB4	Cell_membrane
ABCB6	Cell_membrane
ABCB7	Mitochondrion
ABCB9	Lysosome/Vacuole
ABCC1	Cell_membrane
ABCC10	Cell_membrane
ABCC11	Cell_membrane
ABCC12	Cell_membrane
ABCC2	Cell_membrane
ABCC4	Cell_membrane
ABCC8	Cell_membrane
ABCC9	Cell_membrane
ABCD1	Mitochondrion
ABCD2	Mitochondrion
ABCD3	Endoplasmic_reticulum
ABCD4	Endoplasmic_reticulum
ABCE1	Cytoplasm
ABCF1	Nucleus
ABCF2	Nucleus
ABCF3	Cytoplasm
ABCG1	Cell_membrane
ABCG2	Cell_membrane
ABCG4	Cell_membrane
ABCG8	Endoplasmic_reticulum
ABHD11	Mitochondrion
ABHD12	Endoplasmic_reticulum
ABHD13	Endoplasmic_reticulum
ABHD14A	Endoplasmic_reticulum
ABHD15	Extracellular
ABHD16A	Mitochondrion
ABHD16B	Mitochondrion
ABHD17A	Extracellular
ABHD17B	Cytoplasm
ABHD17C	Cytoplasm
ABHD18	Mitochondrion
ABHD2	Endoplasmic_reticulum
ABHD3	Mitochondrion
ABHD4	Peroxisome
ABHD5	Peroxisome
ABHD6	Endoplasmic_reticulum
ABHD8	Cytoplasm
ABI1	Cytoplasm
ABI3	Cytoplasm
ABL1	Cytoplasm
ABL2	Cytoplasm
ABLIM1	Nucleus
ABR	Cytoplasm
ABRA	Cytoplasm
ABRACL	Cytoplasm
ABRAXAS1	Nucleus
ABRAXAS2	Cytoplasm
ABT1	Nucleus
ABTB1	Cytoplasm
ABTB2	Cytoplasm
ACAA1	Mitochondrion
ACAA2	Mitochondrion
ACAD9	Mitochondrion
ACADL	Mitochondrion
ACADM	Mitochondrion
ACADS	Mitochondrion
ACADVL	Mitochondrion
ACAP1	Cytoplasm
ACAP2	Cytoplasm
ACAT1	Mitochondrion
ACBD3	Cytoplasm
ACBD5	Endoplasmic_reticulum
ACBD6	Cytoplasm
ACBD7	Cytoplasm
ACCS	Cytoplasm
ACCSL	Cytoplasm
ACD	Nucleus
ACER1	Endoplasmic_reticulum
ACER3	Endoplasmic_reticulum
ACIN1	Nucleus
ACKR1	Cell_membrane
ACKR2	Cell_membrane
ACKR3	Cell_membrane
ACKR4	Cell_membrane
ACMSD	Cytoplasm
ACO1	Peroxisome
ACO2	Mitochondrion
ACOD1	Mitochondrion
ACOT1	Peroxisome
ACOT11	Mitochondrion
ACOT12	Cytoplasm
ACOT13	Cytoplasm
ACOT2	Mitochondrion
ACOT4	Peroxisome
ACOT6	Peroxisome
ACOT8	Cytoplasm
ACOX1	Peroxisome
ACOX2	Cytoplasm
ACOX3	Peroxisome
ACOXL	Mitochondrion
ACP5	Extracellular
ACP7	Extracellular
ACR	Extracellular
ACRBP	Extracellular
ACRV1	Extracellular
ACSBG1	Cytoplasm
ACSF3	Mitochondrion
ACSL1	Mitochondrion
ACSL3	Golgi_apparatus
ACSL5	Endoplasmic_reticulum
ACSM1	Mitochondrion
ACSM2A	Mitochondrion
ACSM2B	Mitochondrion
ACSM3	Mitochondrion
ACSM4	Mitochondrion
ACSM5	Mitochondrion
ACSM6	Mitochondrion
ACSS2	Cytoplasm
ACTA1	Cytoplasm
ACTA2	Cytoplasm
ACTB	Cytoplasm
ACTBL2	Cytoplasm
ACTC1	Cytoplasm
ACTG1	Cytoplasm
ACTG2	Cytoplasm
ACTL10	Mitochondrion
ACTL6B	Nucleus
ACTL7A	Cytoplasm
ACTL7B	Cytoplasm
ACTL8	Cytoplasm
ACTN1	Cytoplasm
ACTN2	Cytoplasm
ACTN3	Cytoplasm
ACTN4	Cytoplasm
ACTR10	Peroxisome
ACTR1A	Peroxisome
ACTR1B	Peroxisome
ACTR2	Cytoplasm
ACTR3	Cytoplasm
ACTR3B	Cytoplasm
ACTR5	Cytoplasm
ACTR6	Cytoplasm
ACTRT1	Cytoplasm
ACTRT2	Cytoplasm
ACTRT3	Cytoplasm
ACVR1	Cell_membrane
ACVR1B	Cell_membrane
ACVR2A	Cell_membrane
ACVR2B	Cell_membrane
ACVRL1	Cell_membrane
ACY1	Cytoplasm
ACY3	Cytoplasm
ACYP2	Cytoplasm
ADA	Cytoplasm
ADAD1	Mitochondrion
ADAD2	Nucleus
ADAL	Cytoplasm
ADAM10	Cell_membrane
ADAM17	Cell_membrane
ADAM19	Cell_membrane
ADAM2	Cell_membrane
ADAM21	Cell_membrane
ADAM22	Cell_membrane
ADAM29	Cell_membrane
ADAM30	Cell_membrane
ADAM32	Cell_membrane
ADAM33	Cell_membrane
ADAMTS1	Extracellular
ADAMTS12	Extracellular
ADAMTS15	Extracellular
ADAMTS16	Extracellular
ADAMTS17	Extracellular
ADAMTS18	Extracellular
ADAMTS19	Extracellular
ADAMTS2	Extracellular
ADAMTS3	Extracellular
ADAMTS4	Extracellular
ADAMTS5	Extracellular
ADAMTS7	Extracellular
ADAMTS8	Extracellular
ADAMTS9	Extracellular
ADAMTSL1	Extracellular
ADAMTSL2	Extracellular
ADAMTSL3	Extracellular
ADAMTSL4	Extracellular
